Date	Time	Severity	PID	TID	Function	Message
30-07-2025	17:22:59.553	 INFO	 42624	 34544	DllMain	"DLL_PROCESS_ATTACH "
30-07-2025	17:22:59.567	 INFO	 42624	 35412	InitializeCurrentProcessInfo	"0|0|0"
30-07-2025	17:22:59.580	 INFO	 42624	 35412	ProcessEdlpPolicy	"Label Id :Cmd (7)"
30-07-2025	17:22:59.580	 INFO	 42624	 35412	Injector	"PolicyVersion : 1752121707"
30-07-2025	17:22:59.622	 INFO	 40124	 26344	DllMain	"DLL_PROCESS_ATTACH "
30-07-2025	17:22:59.630	 INFO	 40124	 43732	InitializeCurrentProcessInfo	"0|0|0"
30-07-2025	17:22:59.636	 INFO	 40124	 43732	ProcessEdlpPolicy	"Label Id :NonWork (2)"
30-07-2025	17:22:59.697	 INFO	 38840	 35844	DllMain	"DLL_PROCESS_ATTACH "
30-07-2025	17:22:59.699	 INFO	 38840	 31304	InitializeCurrentProcessInfo	"0|0|0"
30-07-2025	17:22:59.707	 INFO	 38840	 31304	ProcessEdlpPolicy	"Label Id :NonWork (2)"
30-07-2025	17:22:59.870	 INFO	 38840	 31304	LoadDlls	" Dlls : PrinterMonitorDll DragDropDll "
30-07-2025	17:22:59.871	 INFO	 38840	 31304	Injector	"PolicyVersion : 1752121707"
30-07-2025	17:22:59.873	 INFO	 40124	 43732	LoadDlls	" Dlls : PrinterMonitorDll DragDropDll "
30-07-2025	17:22:59.873	 INFO	 40124	 43732	Injector	"PolicyVersion : 1752121707"
30-07-2025	17:22:59.924	 INFO	 41416	 40476	DllMain	"DLL_PROCESS_ATTACH "
30-07-2025	17:22:59.940	 INFO	 41416	 42684	InitializeCurrentProcessInfo	"0|0|0"
30-07-2025	17:22:59.957	 INFO	 41416	 42684	ProcessEdlpPolicy	"Label Id :NonWork (2)"
30-07-2025	17:22:59.976	 INFO	 41416	 41764	DllMain	"DLL_PROCESS_DETACH "
30-07-2025	17:23:00.006	 INFO	 38840	 36372	DllMain	"DLL_PROCESS_DETACH "
30-07-2025	17:23:00.042	 INFO	 40124	 39904	DllMain	"DLL_PROCESS_DETACH "
30-07-2025	17:23:00.080	 INFO	 42624	 42268	DllMain	"DLL_PROCESS_DETACH "
