Date	Time	Severity	PID	TID	Function	Message
30-07-2025	17:22:59.869	 INFO	 38840	 31304	DllMain	"DLL_PROCESS_ATTACH 11:26:08 11.4.2516.10"
30-07-2025	17:22:59.871	 INFO	 40124	 43732	DllMain	"DLL_PROCESS_ATTACH 11:26:08 11.4.2516.10"
30-07-2025	17:22:59.883	 INFO	 38840	 39664	LateInitialization	"Intialization..."
30-07-2025	17:22:59.883	 INFO	 40124	 33388	LateInitialization	"Intialization..."
30-07-2025	17:22:59.883	 INFO	 38840	 39664	LateInitialization	"Exe = C:\Program Files\Git\mingw64\bin\git.exe"
30-07-2025	17:22:59.884	 INFO	 40124	 33388	LateInitialization	"Exe = C:\Program Files\Git\cmd\git.exe"
30-07-2025	17:22:59.884	 INFO	 38840	 39664	LateInitialization	"IsExplorer = 0"
30-07-2025	17:22:59.885	 INFO	 40124	 33388	LateInitialization	"IsExplorer = 0"
30-07-2025	17:22:59.885	 INFO	 38840	 39664	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
30-07-2025	17:22:59.886	 INFO	 40124	 33388	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
30-07-2025	17:22:59.890	 INFO	 38840	 39664	LateInitialization	"Intialization finished"
30-07-2025	17:22:59.896	 INFO	 40124	 33388	LateInitialization	"Intialization finished"
30-07-2025	17:23:00.000	 INFO	 38840	 36372	DllMain	"DLL_PROCESS_DETACH"
30-07-2025	17:23:00.001	 INFO	 38840	 36372	DllMain	"PROCESS DETACHED"
30-07-2025	17:23:00.036	 INFO	 40124	 39904	DllMain	"DLL_PROCESS_DETACH"
30-07-2025	17:23:00.037	 INFO	 40124	 39904	DllMain	"PROCESS DETACHED"
