Date	Time	Severity	PID	TID	Function	Message
30-07-2025	17:22:59.831	 INFO	 40124	 43732	DllMain	"DLL_PROCESS_ATTACH 11:26:13 11.4.2516.10"
30-07-2025	17:22:59.836	 INFO	 40124	 43732	DllMain	"PROCESS ATTACHED"
30-07-2025	17:22:59.838	 INFO	 38840	 31304	DllMain	"DLL_PROCESS_ATTACH 11:26:13 11.4.2516.10"
30-07-2025	17:22:59.841	 INFO	 38840	 31304	DllMain	"PROCESS ATTACHED"
30-07-2025	17:22:59.851	 INFO	 40124	  3492	LateInitialization	"Intialization..."
30-07-2025	17:22:59.851	 INFO	 38840	 42528	LateInitialization	"Intialization..."
30-07-2025	17:22:59.857	 INFO	 38840	 42528	LoadDisplayDevicesName	"DisplayDevices : "
30-07-2025	17:22:59.859	 INFO	 38840	 42528	LoadDisplayDevicesName	"\\.\DISPLAY1"
30-07-2025	17:22:59.865	 INFO	 40124	  3492	LoadDisplayDevicesName	"DisplayDevices : "
30-07-2025	17:22:59.864	 INFO	 38840	 42528	LoadDisplayDevicesName	"\\.\DISPLAY2"
30-07-2025	17:22:59.866	 INFO	 40124	  3492	LoadDisplayDevicesName	"\\.\DISPLAY1"
30-07-2025	17:22:59.867	 INFO	 38840	 42528	LoadDisplayDevicesName	"\\.\DISPLAY3"
30-07-2025	17:22:59.868	 INFO	 40124	  3492	LoadDisplayDevicesName	"\\.\DISPLAY2"
30-07-2025	17:22:59.869	 INFO	 38840	 42528	LoadDisplayDevicesName	"\\.\DISPLAY4"
30-07-2025	17:22:59.870	 INFO	 40124	  3492	LoadDisplayDevicesName	"\\.\DISPLAY3"
30-07-2025	17:22:59.878	 INFO	 40124	  3492	LoadDisplayDevicesName	"\\.\DISPLAY4"
30-07-2025	17:23:00.002	 INFO	 38840	 36372	DllMain	"DLL_PROCESS_DETACH"
30-07-2025	17:23:00.005	 INFO	 38840	 36372	DllMain	"PROCESS DETACHED"
30-07-2025	17:23:00.037	 INFO	 40124	 39904	DllMain	"DLL_PROCESS_DETACH"
30-07-2025	17:23:00.040	 INFO	 40124	 39904	DllMain	"PROCESS DETACHED"
